0,Any ,ZZZ
1,Italy,ITA
2,Germany,DEU
3,France,FRA
4,Spain,ESP
5,Great Britain,GBR
6,Hungary,HUN
7,Belgium,BEL
8,Switzerland,CHE
9,Austria,AUT
10,Russia,RUS
11,Thailand,THA
12,Netherlands,NLD
13,Poland,POL
14,Argentina,ARG
15,Monaco,MCO
16,Ireland,IRL
17,Brazil,BRA
18,South Africa,ZAF
19,Puerto Rico,PRI
20,Slovakia,SVK
21,Oman,OMN
22,Greece,GRC
23,Saudi Arabia,SAU
24,Norway,NOR
25,Turkey,TUR
26,South Korea,KOR
27,Lebanon,LBN
28,Armenia,ARM
29,Mexico,MEX
30,Sweden,SWE
31,Finland,FIN
32,Denmark,DNK
33,Croatia,HRV
34,Canada,CAN
35,China,CHN
36,Portugal,PRT
37,Singapore,SGP
38,Indonesia,IDN
39,USA,USA
40,New Zealand,NZL
41,Australia,AUS
42,San Marino,SMR
43,UAE,ARE
44,Luxembourg,LUX
45,Kuwait,KWT
46,Hong Kong,HKG
47,Colombia,COL
48,Japan,JPN
49,Andorra,AND
50,Azerbaijan,AZE
51,Bulgaria,BGR
52,Cuba,CUB
53,Czech Republic,CZE
54,Estonia,EST
55,Georgia,GEO
56,India,IND
57,Israel,ISR
58,Jamaica,JAM
59,Latvia,LVA
60,Lithuania,LTU
61,Macau,MAC
62,Malaysia,MYS
63,Nepal,NPL
64,New Caledonia,NCL
65,Nigeria,NER
66,Northern Ireland,NIR
67,Papua New Guinea,PNG
68,Philippines,PHL
69,Qatar,QAT
70,Romania,ROU
71,Scotland,GBR-SCT
72,Serbia,SRB
73,Slovenia,SVK
74,Taiwan,TWN
75,Ukraine,UKR
76,Venezuela,VEN
77,Wales,GBR-CYM
78,Iran,IRN
79,Bahrain,BHR
80,Zimbabwe,ZWE
81,Chinese Taipei,CHN
82,Chile,CHL
83,Uruguay,URU
84,Madagascar,MAD
86,England,GBR-ENG
